,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
129,SPXW250310P05810000,2025-03-07 20:59:36+00:00,5810.0,56.49,57.8,62.8,-44.709995,-44.17984,200.0,152.0,0.2326202837371826,True,REGULAR,USD
130,SPXW250310P05815000,2025-03-07 21:14:45+00:00,5815.0,62.8,61.2,66.2,-47.610004,-43.121098,101.0,115.0,0.2330246376037598,True,REGULAR,USD
131,SPXW250310P05820000,2025-03-07 21:13:43+00:00,5820.0,67.35,64.7,69.7,-45.1,-40.106712,88.0,144.0,0.23352817260742187,True,REGULAR,USD
132,SPXW250310P05825000,2025-03-07 21:14:45+00:00,5825.0,69.83,69.4,71.6,-39.769997,-36.286495,250.0,512.0,0.2225114370727539,True,REGULAR,USD
133,SPXW250310P05830000,2025-03-07 21:07:27+00:00,5830.0,77.7,71.9,77.1,-31.660004,-28.950258,289.0,209.0,0.2355728298950195,True,REGULAR,USD
134,SPXW250310P05835000,2025-03-07 20:58:06+00:00,5835.0,72.44,75.8,81.0,-44.35,-37.97414,189.0,184.0,0.23722076263427733,True,REGULAR,USD
135,SPXW250310P05840000,2025-03-07 21:12:49+00:00,5840.0,83.62,79.7,84.9,-32.67,-28.09356,184.0,511.0,0.23839567764282227,True,REGULAR,USD
136,SPXW250310P05845000,2025-03-07 21:01:23+00:00,5845.0,87.3,83.7,89.0,-35.85,-29.11084,295.0,372.0,0.2405776626586914,True,REGULAR,USD
137,SPXW250310P05850000,2025-03-07 21:07:51+00:00,5850.0,92.32,87.8,93.1,-25.720001,-21.789225,365.0,528.0,0.24233240585327148,True,REGULAR,USD
138,SPXW250310P05855000,2025-03-07 21:10:55+00:00,5855.0,95.75,92.0,97.3,-31.220001,-24.588486,105.0,155.0,0.2444380976867676,True,REGULAR,USD
139,SPXW250310P05860000,2025-03-07 21:10:55+00:00,5860.0,100.11,96.3,101.7,-30.61,-23.416462,105.0,269.0,0.24781025634765624,True,REGULAR,USD
140,SPXW250310P05865000,2025-03-07 21:13:29+00:00,5865.0,103.7,100.5,106.2,-28.630005,-21.63531,53.0,160.0,0.25171646728515623,True,REGULAR,USD
141,SPXW250310P05870000,2025-03-07 21:13:29+00:00,5870.0,108.2,106.1,108.8,-31.440002,-22.515041,175.0,888.0,0.2381667980957031,True,REGULAR,USD
142,SPXW250310P05875000,2025-03-07 21:07:07+00:00,5875.0,114.1,109.5,115.3,-29.269997,-20.415705,175.0,645.0,0.25962044097900394,True,REGULAR,USD
143,SPXW250310P05880000,2025-03-07 21:04:08+00:00,5880.0,124.29,114.1,119.9,-26.109993,-17.360369,128.0,263.0,0.26364872100830083,True,REGULAR,USD
144,SPXW250310P05885000,2025-03-07 21:00:21+00:00,5885.0,120.5,118.7,124.6,-32.910004,-21.45232,25.0,158.0,0.26840941558837883,True,REGULAR,USD
145,SPXW250310P05890000,2025-03-07 20:50:53+00:00,5890.0,127.9,123.4,129.3,-37.219994,-22.54118,79.0,204.0,0.2729870065307617,True,REGULAR,USD
146,SPXW250310P05895000,2025-03-07 20:54:36+00:00,5895.0,132.2,128.2,134.1,-46.72,-26.112228,63.0,92.0,0.27838856384277344,True,REGULAR,USD
